Perimeter;Major_Axis_Length;Minor_Axis_Length;Eccentricity;Convex_Area;Extent;Class
41;18;69;92;999;58;Osmancik
39;16;76;88;996;66;Osmancik
41;17;71;91;999;56;Osmancik
39;16;75;89;994;57;Osmancik
40;17;74;89;1003;58;Osmancik
41;17;73;90;1009;58;Osmancik
39;16;79;86;1008;63;Osmancik
40;16;77;88;1007;69;Osmancik
39;15;80;86;1010;61;Osmancik
38;15;81;85;1002;70;Osmancik
39;15;80;86;1010;60;Osmancik
39;16;74;89;999;72;Osmancik
38;15;81;84;1010;65;Osmancik
39;16;75;89;1006;64;Osmancik
38;15;81;85;999;63;Osmancik
40;16;74;89;1009;58;Osmancik
39;16;78;87;1009;65;Osmancik
38;16;76;88;1002;73;Osmancik
38;15;81;85;1004;62;Osmancik
39;16;79;87;1015;59;Osmancik
43;18;67;93;1020;61;Cammeo
40;17;74;89;1007;58;Osmancik
39;15;81;85;1017;73;Osmancik
39;16;79;86;1027;62;Osmancik
39;16;79;87;1017;60;Osmancik
39;16;77;88;1007;61;Osmancik
39;16;79;86;1016;70;Osmancik
39;16;80;86;1021;67;Osmancik
40;16;75;89;1021;55;Osmancik
39;16;76;88;1008;60;Osmancik
39;16;77;88;1013;62;Osmancik
39;15;80;86;1015;61;Osmancik
40;16;78;88;1023;61;Osmancik
40;17;74;89;1013;57;Osmancik
41;17;75;89;1025;71;Osmancik
40;16;76;88;1012;66;Osmancik
39;16;77;88;1023;79;Osmancik
39;16;79;86;1016;77;Osmancik
40;16;76;88;1029;57;Osmancik
40;16;76;88;1018;59;Osmancik
40;17;74;90;1012;80;Osmancik
41;18;71;91;1017;54;Osmancik
39;16;79;86;1022;71;Osmancik
39;16;78;87;1014;80;Osmancik
40;16;81;86;1033;69;Osmancik
40;15;81;85;1040;60;Osmancik
41;17;72;91;1021;54;Osmancik
41;17;74;90;1022;57;Osmancik
40;16;77;88;1018;59;Osmancik
41;18;70;92;1015;77;Osmancik
40;16;78;88;1030;74;Osmancik
39;16;79;87;1023;59;Osmancik
40;16;77;88;1025;59;Osmancik
39;16;78;87;1021;76;Osmancik
39;15;81;85;1023;62;Osmancik
41;16;77;88;1031;75;Osmancik
39;16;80;86;1024;62;Osmancik
41;17;73;91;1026;54;Osmancik
41;17;75;89;1042;55;Osmancik
39;16;77;88;1024;70;Osmancik
40;16;76;89;1028;64;Osmancik
41;17;75;90;1035;69;Osmancik
40;16;77;88;1034;57;Osmancik
40;16;77;88;1033;67;Osmancik
40;16;77;88;1038;61;Osmancik
41;17;74;90;1035;57;Osmancik
40;16;78;88;1042;78;Osmancik
39;16;80;86;1030;67;Osmancik
40;16;77;88;1031;77;Osmancik
40;16;77;88;1037;74;Osmancik
40;16;78;88;1038;67;Osmancik
39;16;80;87;1030;66;Osmancik
40;16;78;88;1035;58;Osmancik
41;17;77;89;1042;56;Osmancik
40;16;79;87;1039;65;Osmancik
41;17;75;90;1041;57;Osmancik
40;16;77;88;1040;58;Osmancik
40;16;76;89;1035;63;Osmancik
40;16;80;87;1033;59;Osmancik
42;18;72;91;1040;52;Osmancik
39;16;80;86;1039;66;Osmancik
40;17;73;91;1032;75;Osmancik
40;16;82;85;1047;66;Osmancik
40;16;81;86;1042;62;Osmancik
40;16;79;87;1033;62;Osmancik
40;17;74;90;1034;76;Osmancik
40;16;77;88;1036;79;Osmancik
39;16;79;87;1033;63;Osmancik
40;17;77;88;1039;68;Osmancik
40;16;82;85;1048;61;Osmancik
45;18;73;91;1100;51;Osmancik
39;16;81;86;1047;78;Osmancik
41;17;75;90;1047;62;Osmancik
40;16;77;88;1035;79;Osmancik
40;17;76;89;1034;61;Osmancik
40;17;75;90;1037;75;Osmancik
40;16;78;88;1035;62;Osmancik
40;16;78;87;1043;60;Osmancik
39;16;81;86;1036;66;Osmancik
39;16;80;87;1034;75;Osmancik
43;18;69;92;1039;56;Osmancik
39;15;82;85;1037;66;Osmancik
40;16;80;87;1043;68;Osmancik
40;16;80;86;1051;69;Osmancik
40;16;78;88;1036;60;Osmancik
42;18;72;91;1042;82;Osmancik
40;16;80;87;1049;63;Osmancik
40;16;79;87;1047;64;Osmancik
40;15;82;85;1064;62;Osmancik
39;16;82;85;1039;79;Osmancik
41;16;79;88;1048;58;Osmancik
41;17;74;90;1052;77;Osmancik
40;16;81;86;1065;70;Osmancik
40;16;80;87;1048;67;Osmancik
40;16;79;87;1051;72;Osmancik
41;17;76;89;1052;58;Osmancik
41;16;80;87;1055;57;Osmancik
41;16;78;88;1057;59;Osmancik
40;16;81;86;1045;61;Osmancik
42;18;72;91;1045;54;Osmancik
41;17;74;90;1042;56;Osmancik
40;17;76;89;1041;75;Osmancik
41;17;74;90;1046;59;Osmancik
40;15;83;85;1052;77;Osmancik
40;17;77;89;1046;61;Osmancik
41;17;75;90;1054;64;Osmancik
40;17;77;89;1052;62;Osmancik
41;17;77;89;1056;58;Osmancik
41;17;77;89;1051;61;Osmancik
39;16;82;85;1048;78;Osmancik
42;18;73;91;1062;56;Osmancik
41;17;76;89;1054;61;Osmancik
39;16;81;86;1047;70;Osmancik
40;16;79;87;1059;65;Osmancik
39;16;80;86;1050;80;Osmancik
41;17;76;89;1061;68;Osmancik
42;17;77;89;1069;60;Osmancik
40;16;79;87;1057;62;Osmancik
41;17;74;90;1050;71;Osmancik
40;16;78;88;1053;71;Osmancik
40;16;79;87;1047;58;Osmancik
40;16;79;88;1060;65;Osmancik
40;16;78;88;1052;59;Osmancik
40;15;83;85;1062;63;Osmancik
40;17;76;89;1051;57;Osmancik
42;18;70;92;1052;54;Osmancik
40;16;81;87;1064;78;Osmancik
41;16;78;88;1053;78;Osmancik
40;16;81;87;1055;67;Osmancik
41;17;78;88;1073;57;Osmancik
41;16;79;88;1068;59;Osmancik
40;16;83;85;1068;70;Osmancik
41;17;75;90;1052;56;Osmancik
41;17;76;89;1059;61;Osmancik
40;15;84;84;1072;63;Osmancik
39;16;80;87;1063;70;Osmancik
39;16;82;85;1060;68;Osmancik
41;17;77;89;1055;60;Osmancik
40;16;78;88;1059;80;Osmancik
41;17;75;90;1055;56;Osmancik
41;17;77;89;1063;59;Osmancik
40;16;81;87;1068;63;Osmancik
40;16;80;87;1055;64;Osmancik
40;16;81;87;1053;80;Osmancik
40;16;80;87;1053;67;Osmancik
40;16;81;87;1066;60;Osmancik
42;17;77;89;1068;72;Osmancik
41;17;75;90;1055;56;Osmancik
41;17;79;88;1072;60;Osmancik
40;16;78;88;1055;59;Osmancik
40;16;82;86;1065;64;Osmancik
39;15;83;85;1054;65;Osmancik
40;16;82;86;1073;68;Osmancik
42;18;72;91;1059;77;Osmancik
41;17;79;88;1064;62;Osmancik
40;17;78;88;1058;67;Osmancik
40;16;81;86;1068;79;Osmancik
39;16;83;85;1063;62;Osmancik
40;16;82;86;1071;59;Osmancik
40;16;81;87;1066;65;Osmancik
40;16;81;86;1072;77;Osmancik
40;16;81;86;1070;61;Osmancik
40;16;80;87;1068;63;Osmancik
40;16;80;87;1065;74;Osmancik
41;17;78;89;1072;58;Osmancik
42;17;78;88;1070;57;Osmancik
41;17;76;89;1058;80;Osmancik
40;15;85;84;1071;67;Osmancik
39;16;83;85;1064;69;Osmancik
41;16;80;87;1078;74;Osmancik
41;17;76;90;1068;58;Osmancik
42;18;74;91;1067;53;Osmancik
42;17;76;90;1085;57;Osmancik
40;15;84;84;1074;77;Osmancik
41;17;75;90;1068;59;Osmancik
41;16;80;87;1077;61;Osmancik
40;16;81;86;1068;69;Osmancik
40;16;80;87;1061;78;Osmancik
42;17;76;90;1076;68;Osmancik
41;17;79;88;1073;79;Osmancik
41;17;75;90;1065;63;Osmancik
41;17;77;89;1064;80;Osmancik
40;16;82;86;1067;61;Osmancik
41;17;76;90;1077;69;Osmancik
41;17;77;89;1072;71;Osmancik
41;17;77;89;1065;76;Osmancik
40;16;83;85;1088;62;Osmancik
40;16;80;87;1066;70;Osmancik
40;16;81;86;1073;66;Osmancik
41;16;80;88;1075;58;Osmancik
40;16;83;85;1074;74;Osmancik
40;16;82;86;1078;66;Osmancik
40;16;83;85;1079;63;Osmancik
40;16;81;87;1072;67;Osmancik
41;17;77;89;1069;58;Osmancik
42;17;78;89;1075;57;Osmancik
41;17;79;88;1077;58;Osmancik
41;16;82;86;1078;72;Osmancik
42;17;77;89;1078;63;Osmancik
40;16;80;87;1072;63;Osmancik
40;16;80;87;1068;60;Osmancik
42;17;78;89;1100;58;Osmancik
40;16;82;86;1071;63;Osmancik
40;17;79;88;1068;60;Osmancik
40;17;79;88;1069;65;Osmancik
40;16;83;85;1072;63;Osmancik
41;16;83;86;1086;62;Osmancik
41;17;78;88;1079;60;Osmancik
41;16;80;87;1083;63;Osmancik
40;16;80;87;1075;60;Osmancik
40;16;83;86;1089;72;Osmancik
42;17;77;89;1082;80;Osmancik
41;16;84;85;1097;68;Osmancik
42;18;73;91;1070;75;Osmancik
39;16;83;85;1071;67;Osmancik
40;16;81;87;1068;79;Osmancik
42;17;77;89;1077;66;Osmancik
40;16;83;85;1090;77;Osmancik
42;17;77;90;1089;59;Osmancik
41;17;80;88;1086;61;Osmancik
41;16;83;85;1087;61;Osmancik
40;16;85;84;1084;77;Osmancik
40;16;82;86;1084;64;Osmancik
41;16;80;87;1077;61;Osmancik
41;16;86;84;1088;62;Osmancik
42;17;76;90;1077;67;Osmancik
40;16;80;87;1069;63;Osmancik
40;16;80;88;1070;60;Osmancik
41;17;79;88;1080;64;Osmancik
40;16;80;87;1072;61;Osmancik
40;16;81;87;1078;61;Osmancik
40;16;82;86;1083;60;Osmancik
39;16;83;85;1072;64;Osmancik
41;18;74;91;1078;58;Osmancik
41;16;84;85;1091;66;Osmancik
40;16;81;86;1074;74;Osmancik
41;17;78;89;1083;67;Osmancik
39;15;86;83;1082;69;Osmancik
41;17;79;88;1078;68;Osmancik
41;17;77;89;1072;56;Osmancik
40;16;83;85;1077;76;Osmancik
41;16;81;87;1089;60;Osmancik
40;16;81;87;1075;79;Osmancik
40;17;78;89;1073;58;Osmancik
40;16;82;86;1076;72;Osmancik
43;18;72;92;1093;55;Osmancik
40;16;81;87;1081;68;Osmancik
42;18;75;91;1076;78;Osmancik
39;16;81;87;1072;63;Osmancik
40;16;83;85;1075;61;Osmancik
41;16;80;88;1078;78;Osmancik
40;16;81;87;1077;61;Osmancik
41;17;80;88;1085;72;Osmancik
43;19;71;92;1081;51;Osmancik
41;17;78;89;1074;78;Osmancik
41;16;80;88;1075;60;Osmancik
40;16;84;85;1097;62;Osmancik
40;16;81;87;1073;78;Osmancik
40;16;82;86;1084;64;Osmancik
40;16;83;85;1083;61;Osmancik
41;16;85;85;1093;59;Osmancik
41;17;78;89;1080;60;Osmancik
42;18;75;91;1082;72;Osmancik
42;17;76;90;1083;57;Cammeo
40;16;80;87;1078;78;Osmancik
40;17;78;88;1075;58;Osmancik
40;16;85;84;1089;70;Osmancik
41;17;79;88;1076;82;Cammeo
41;17;79;88;1087;71;Osmancik
41;16;80;87;1092;67;Osmancik
42;17;79;88;1088;58;Osmancik
42;18;76;90;1091;77;Osmancik
40;16;83;86;1086;76;Osmancik
40;16;81;87;1080;62;Osmancik
42;17;78;89;1089;58;Osmancik
41;17;79;88;1080;80;Osmancik
41;17;80;88;1082;71;Osmancik
41;17;79;88;1081;69;Osmancik
40;16;81;87;1076;62;Osmancik
40;16;81;87;1080;68;Osmancik
40;16;81;87;1083;67;Osmancik
40;16;82;86;1091;64;Osmancik
41;16;81;87;1090;66;Osmancik
41;17;79;88;1083;61;Osmancik
41;17;80;87;1082;80;Osmancik
40;16;83;86;1085;61;Osmancik
41;16;82;86;1089;67;Osmancik
41;17;77;90;1082;73;Osmancik
41;17;80;88;1087;72;Osmancik
40;16;80;87;1082;60;Osmancik
42;17;78;89;1094;56;Osmancik
41;17;79;88;1094;72;Osmancik
40;16;84;85;1093;65;Osmancik
40;16;83;85;1088;65;Osmancik
41;16;81;87;1092;64;Osmancik
42;17;77;89;1088;62;Osmancik
41;17;78;89;1082;59;Osmancik
41;16;84;85;1098;66;Osmancik
41;17;81;87;1104;68;Osmancik
40;16;84;85;1090;67;Osmancik
40;16;83;86;1088;71;Osmancik
40;16;84;85;1086;73;Osmancik
41;17;79;88;1084;59;Osmancik
42;17;77;89;1092;55;Osmancik
40;17;80;88;1084;68;Osmancik
41;17;79;88;1087;70;Osmancik
42;17;79;88;1097;58;Osmancik
41;17;80;88;1089;62;Osmancik
40;16;83;86;1085;62;Osmancik
41;16;81;87;1091;66;Osmancik
40;16;84;85;1092;61;Osmancik
41;17;80;88;1086;63;Osmancik
40;16;82;87;1091;74;Osmancik
40;16;84;85;1089;75;Osmancik
40;16;84;85;1093;61;Osmancik
40;16;82;86;1088;61;Osmancik
40;16;81;87;1082;60;Osmancik
40;16;84;85;1099;75;Osmancik
41;17;81;88;1090;58;Osmancik
40;16;85;84;1099;68;Osmancik
41;16;81;87;1088;77;Osmancik
41;17;79;89;1094;58;Osmancik
44;19;71;92;1096;69;Osmancik
41;17;78;89;1098;63;Osmancik
42;17;80;88;1100;76;Osmancik
43;18;76;90;1105;78;Osmancik
42;16;83;86;1098;59;Osmancik
41;16;84;85;1100;66;Osmancik
42;17;77;90;1096;56;Cammeo
42;17;79;88;1100;67;Osmancik
40;16;81;87;1086;79;Osmancik
40;16;84;85;1101;69;Osmancik
41;16;81;87;1099;59;Osmancik
41;17;81;88;1098;79;Osmancik
41;17;81;87;1092;59;Osmancik
40;16;82;86;1087;70;Osmancik
42;17;80;88;1102;78;Osmancik
41;17;78;89;1093;79;Osmancik
41;17;76;90;1090;74;Osmancik
41;17;81;87;1098;61;Osmancik
41;16;83;86;1101;61;Osmancik
42;18;75;91;1088;55;Osmancik
42;18;75;91;1088;82;Osmancik
42;17;78;89;1094;58;Osmancik
41;16;82;87;1101;70;Osmancik
42;17;81;87;1095;59;Osmancik
40;15;87;83;1095;61;Osmancik
42;17;80;88;1104;58;Osmancik
42;18;75;91;1103;57;Cammeo
41;16;81;87;1096;76;Osmancik
41;17;80;88;1095;59;Osmancik
41;16;84;85;1112;60;Osmancik
41;16;83;86;1097;77;Osmancik
42;18;75;90;1100;69;Osmancik
42;18;76;90;1100;74;Osmancik
40;15;87;83;1109;66;Osmancik
40;16;82;86;1093;62;Osmancik
41;15;88;83;1117;63;Osmancik
40;16;83;86;1094;66;Osmancik
42;17;77;90;1103;71;Osmancik
41;16;84;86;1103;63;Osmancik
40;16;84;85;1098;80;Osmancik
40;16;85;85;1109;67;Osmancik
41;16;86;84;1104;66;Osmancik
41;16;82;87;1106;69;Osmancik
41;16;84;86;1111;69;Osmancik
41;17;82;87;1113;59;Osmancik
42;17;78;89;1109;63;Osmancik
43;18;77;90;1120;55;Cammeo
42;17;79;89;1106;70;Osmancik
40;16;84;85;1102;78;Osmancik
40;16;86;84;1101;65;Osmancik
40;16;82;87;1095;72;Osmancik
41;16;82;87;1108;64;Osmancik
40;16;86;84;1096;76;Osmancik
41;17;81;87;1101;69;Osmancik
41;17;81;87;1103;59;Osmancik
41;16;82;87;1102;76;Osmancik
41;17;80;88;1098;62;Cammeo
41;16;84;86;1106;68;Osmancik
41;16;82;87;1098;59;Osmancik
41;16;81;87;1100;64;Osmancik
40;16;85;85;1096;63;Osmancik
42;17;78;89;1101;65;Osmancik
41;16;84;85;1109;64;Osmancik
40;16;81;87;1096;74;Osmancik
41;16;84;85;1105;58;Osmancik
40;16;85;85;1106;61;Osmancik
42;17;79;89;1112;74;Osmancik
41;16;82;87;1102;69;Osmancik
41;17;80;88;1104;73;Osmancik
42;17;79;88;1102;68;Osmancik
41;17;80;88;1101;72;Osmancik
42;17;77;90;1098;56;Osmancik
41;17;81;87;1111;58;Osmancik
40;16;82;86;1095;78;Osmancik
41;17;78;89;1098;63;Osmancik
41;16;84;85;1109;60;Osmancik
40;16;84;85;1098;71;Osmancik
42;17;78;89;1108;71;Osmancik
41;17;79;89;1098;59;Osmancik
42;17;78;89;1110;77;Osmancik
41;17;81;87;1104;59;Osmancik
41;16;82;87;1104;61;Osmancik
41;16;83;86;1122;65;Osmancik
41;16;84;86;1109;72;Osmancik
40;16;87;83;1113;72;Osmancik
42;18;76;90;1101;58;Osmancik
42;16;84;86;1120;59;Osmancik
42;17;79;89;1115;76;Osmancik
41;16;84;85;1116;71;Osmancik
41;16;84;86;1125;69;Osmancik
41;17;81;87;1107;65;Osmancik
41;16;84;86;1107;73;Osmancik
41;16;84;86;1110;67;Osmancik
43;17;79;89;1125;54;Osmancik
41;16;82;87;1115;73;Osmancik
41;16;83;86;1108;78;Osmancik
41;17;81;87;1104;81;Osmancik
41;17;81;88;1106;68;Osmancik
41;16;85;85;1114;67;Osmancik
41;17;82;87;1110;74;Osmancik
41;16;82;87;1115;62;Osmancik
41;16;82;87;1102;60;Osmancik
40;16;83;86;1100;61;Osmancik
43;17;80;89;1131;77;Osmancik
41;16;83;86;1102;77;Osmancik
41;17;82;87;1107;62;Osmancik
41;16;84;86;1113;60;Osmancik
41;16;84;86;1117;79;Osmancik
41;16;85;85;1121;75;Osmancik
41;16;83;86;1105;67;Osmancik
42;17;80;88;1106;61;Osmancik
41;16;83;86;1105;70;Osmancik
42;17;81;88;1117;57;Osmancik
40;16;85;85;1103;62;Osmancik
41;16;85;85;1118;66;Osmancik
40;16;82;87;1103;67;Osmancik
41;17;82;87;1115;60;Osmancik
41;16;85;85;1122;76;Osmancik
41;17;82;87;1108;64;Osmancik
41;16;83;86;1115;68;Osmancik
40;16;83;86;1107;66;Osmancik
42;17;79;89;1121;63;Osmancik
41;16;85;85;1133;76;Osmancik
42;17;80;89;1115;61;Osmancik
42;17;77;90;1101;58;Osmancik
41;16;82;87;1107;68;Osmancik
42;17;78;89;1111;73;Osmancik
39;15;90;80;1105;74;Osmancik
41;16;83;87;1103;75;Osmancik
40;15;89;82;1123;72;Osmancik
43;19;73;92;1102;79;Cammeo
40;16;84;86;1105;68;Osmancik
40;16;84;85;1112;80;Osmancik
40;15;87;83;1110;67;Osmancik
41;16;84;86;1115;68;Osmancik
41;17;80;88;1114;58;Osmancik
42;16;83;86;1117;64;Osmancik
41;17;82;87;1109;60;Osmancik
42;17;81;88;1126;69;Osmancik
41;17;81;88;1109;58;Osmancik
41;17;79;88;1103;82;Osmancik
41;16;83;87;1123;69;Osmancik
41;17;80;88;1106;75;Osmancik
44;19;73;92;1122;62;Osmancik
41;16;85;85;1124;70;Osmancik
42;17;81;88;1113;64;Osmancik
42;17;81;87;1128;61;Osmancik
42;17;83;87;1131;62;Osmancik
41;17;82;87;1124;78;Osmancik
41;17;81;87;1109;72;Osmancik
42;17;80;89;1112;65;Osmancik
42;17;79;89;1111;79;Osmancik
41;16;84;86;1112;63;Osmancik
42;18;77;90;1116;60;Osmancik
42;17;77;90;1114;59;Osmancik
42;17;80;88;1127;77;Osmancik
41;17;82;87;1117;67;Osmancik
41;17;82;87;1115;60;Osmancik
43;18;77;90;1123;77;Osmancik
41;17;80;88;1111;63;Osmancik
41;17;81;88;1113;61;Osmancik
40;16;83;86;1111;62;Osmancik
42;17;79;89;1110;59;Cammeo
41;16;85;85;1113;62;Osmancik
42;17;78;90;1109;80;Osmancik
42;17;81;88;1124;62;Osmancik
41;17;82;87;1115;62;Osmancik
41;16;82;87;1113;74;Osmancik
40;16;83;86;1113;75;Osmancik
41;16;84;86;1128;61;Osmancik
42;17;79;89;1113;57;Osmancik
41;16;84;86;1119;61;Osmancik
41;16;85;85;1117;77;Osmancik
43;18;78;90;1124;54;Cammeo
41;17;81;88;1111;65;Osmancik
42;17;78;89;1113;56;Osmancik
42;17;79;89;1110;58;Osmancik
41;17;81;88;1114;61;Osmancik
42;17;79;89;1113;57;Osmancik
42;17;82;87;1135;64;Osmancik
44;19;71;93;1113;49;Cammeo
41;16;84;86;1132;75;Osmancik
41;17;82;87;1115;62;Osmancik
41;17;82;87;1125;71;Osmancik
41;17;82;87;1124;59;Osmancik
41;16;83;86;1111;74;Osmancik
41;17;80;88;1122;70;Osmancik
41;17;82;87;1116;66;Osmancik
43;17;78;89;1129;66;Osmancik
40;16;87;83;1118;69;Osmancik
40;16;84;86;1110;73;Osmancik
42;17;78;89;1119;72;Osmancik
41;17;82;87;1123;70;Osmancik
41;16;83;87;1128;77;Osmancik
41;17;83;87;1114;76;Osmancik
42;16;83;87;1130;68;Osmancik
41;16;83;87;1114;78;Osmancik
41;17;80;88;1114;66;Osmancik
42;18;77;90;1117;58;Osmancik
42;17;78;89;1116;59;Osmancik
41;16;86;85;1128;70;Osmancik
41;17;82;87;1122;77;Osmancik
42;17;83;87;1120;69;Osmancik
41;17;82;87;1119;74;Osmancik
41;17;83;87;1125;58;Osmancik
42;17;83;87;1145;72;Osmancik
43;18;78;89;1126;68;Osmancik
42;17;78;89;1116;56;Osmancik
42;17;80;88;1117;66;Osmancik
42;17;82;87;1124;61;Osmancik
41;16;84;86;1115;79;Osmancik
41;17;82;88;1113;78;Osmancik
41;16;85;86;1127;61;Osmancik
41;17;82;87;1119;69;Osmancik
41;17;83;87;1118;72;Osmancik
42;17;80;88;1132;75;Osmancik
41;16;86;85;1118;58;Osmancik
41;16;85;86;1118;69;Osmancik
40;16;84;86;1114;76;Osmancik
41;17;81;88;1114;58;Osmancik
42;17;82;87;1130;78;Osmancik
41;16;84;86;1130;73;Osmancik
41;16;84;86;1125;60;Osmancik
41;16;88;83;1134;71;Osmancik
41;16;85;85;1134;63;Osmancik
42;17;79;89;1118;55;Osmancik
42;17;82;87;1135;78;Osmancik
41;17;80;89;1118;63;Osmancik
41;17;82;87;1127;65;Osmancik
41;17;83;87;1120;60;Osmancik
42;17;82;87;1129;72;Osmancik
41;16;84;86;1125;76;Osmancik
43;18;76;91;1130;59;Osmancik
41;16;84;86;1121;79;Osmancik
43;18;76;91;1122;67;Osmancik
42;16;87;85;1132;61;Osmancik
42;18;76;90;1119;82;Osmancik
42;16;84;86;1141;69;Osmancik
41;16;83;87;1124;79;Osmancik
41;16;85;86;1132;69;Osmancik
42;17;80;88;1129;59;Osmancik
42;16;85;85;1142;69;Osmancik
42;18;78;90;1124;56;Osmancik
41;17;83;87;1133;70;Osmancik
41;16;84;86;1124;82;Osmancik
41;16;86;85;1121;63;Osmancik
42;17;80;89;1136;60;Osmancik
41;17;83;87;1131;80;Osmancik
41;17;82;87;1122;61;Osmancik
41;17;81;88;1124;60;Cammeo
42;17;82;87;1132;60;Osmancik
41;17;83;87;1133;65;Osmancik
41;17;82;88;1126;60;Osmancik
41;16;84;86;1132;62;Osmancik
41;17;83;87;1130;77;Osmancik
42;17;81;88;1124;79;Osmancik
43;18;77;90;1136;75;Osmancik
42;18;77;90;1129;74;Osmancik
42;17;82;87;1132;70;Osmancik
41;16;86;85;1131;66;Osmancik
41;16;86;85;1135;63;Osmancik
41;17;80;88;1124;67;Osmancik
42;18;78;90;1127;55;Osmancik
42;17;82;88;1127;56;Osmancik
42;17;81;88;1133;58;Osmancik
41;16;84;86;1128;78;Osmancik
42;17;83;87;1141;69;Osmancik
43;18;79;89;1145;60;Osmancik
43;17;80;89;1138;59;Osmancik
41;17;82;87;1128;62;Osmancik
42;16;85;86;1137;75;Osmancik
43;18;77;90;1126;62;Osmancik
42;17;82;88;1134;66;Osmancik
41;17;81;88;1127;74;Osmancik
41;17;82;87;1129;61;Osmancik
42;17;84;86;1135;77;Osmancik
42;17;83;87;1139;61;Osmancik
43;18;78;90;1147;62;Osmancik
42;16;86;86;1141;59;Osmancik
41;16;90;82;1145;63;Osmancik
41;16;84;86;1134;65;Osmancik
42;17;82;88;1133;59;Osmancik
42;17;81;88;1133;70;Osmancik
42;16;87;84;1142;63;Osmancik
41;17;81;88;1125;60;Osmancik
40;16;87;84;1133;66;Osmancik
41;16;86;85;1142;68;Osmancik
