fixed_acidity;volatile_acidity;citric_acid;residual_sugar;chlorides;free_sulfur_dioxide;total_sulfur_dioxide;density;pH;sulphates;alcohol;quality
980;39;43;165;68;500;1100;995;319;46;1140;Bad
1020;40;40;250;68;4100;5400;998;338;86;1050;Good
680;66;7;160;70;1600;6100;996;329;60;930;Bad
670;64;23;210;80;1100;11900;995;336;70;1090;Bad
700;43;30;200;85;600;3900;993;333;46;1190;Good
660;80;3;780;79;600;1200;996;352;50;1220;Bad
700;43;30;200;85;600;3900;993;333;46;1190;Good
670;64;23;210;80;1100;11900;995;336;70;1090;Bad
880;96;5;180;75;500;1900;996;330;44;960;Bad
910;40;57;460;80;600;2000;997;328;57;1250;Good
650;89;0;230;166;600;1200;996;356;51;1080;Bad
720;25;37;250;63;1100;4100;994;352;80;1240;Good
640;89;0;230;166;600;1200;996;356;51;1080;Bad
700;75;12;180;114;1500;6400;996;322;59;950;Good
620;43;22;180;78;2100;5600;996;352;60;950;Good
790;58;23;230;76;2300;9400;997;321;58;950;Good
770;57;21;150;69;400;900;995;316;54;980;Good
770;26;26;200;52;1900;7700;995;315;79;1090;Good
790;58;23;230;76;2300;9400;997;321;58;950;Good
770;57;21;150;69;400;900;995;316;54;980;Good
790;34;36;190;65;500;1000;994;327;54;1120;Good
860;42;39;180;68;600;1200;995;335;69;1170;Good
990;74;19;580;111;3300;7600;999;314;55;940;Bad
720;36;46;210;74;2400;4400;995;340;85;1100;Good
720;36;46;210;74;2400;4400;995;340;85;1100;Good
720;36;46;210;74;2400;4400;995;340;85;1100;Good
990;72;55;170;136;2400;5200;998;335;94;1000;Bad
720;36;46;210;74;2400;4400;995;340;85;1100;Good
620;39;43;200;71;1400;2400;994;345;87;1120;Good
680;65;2;210;78;800;1500;995;335;62;1040;Good
660;44;15;210;76;2200;5300;996;332;62;930;Bad
680;65;2;210;78;800;1500;995;335;62;1040;Good
960;38;42;190;71;500;1300;997;315;75;1050;Good
1020;33;46;190;81;600;900;996;310;48;1040;Good
880;27;46;210;95;2000;2900;995;326;56;1130;Good
790;57;31;200;79;1000;7900;997;329;69;950;Good
820;34;37;190;57;4300;7400;994;323;81;1200;Good
820;40;31;190;82;800;2400;996;324;69;1060;Good
900;39;40;130;44;2500;5000;995;320;83;1090;Good
1090;32;52;180;132;1700;4400;997;328;77;1150;Good
1090;32;52;180;132;1700;4400;997;328;77;1150;Good
810;53;22;220;78;3300;8900;997;326;46;960;Good
1050;36;47;220;74;900;2300;996;323;76;1200;Good
1260;39;49;250;80;800;2000;999;307;82;1030;Good
920;46;23;260;91;1800;7700;999;315;51;940;Bad
750;58;3;410;80;2700;4600;996;302;47;920;Bad
900;58;25;200;104;800;2100;998;327;72;960;Bad
510;42;0;180;44;1800;8800;992;368;73;1360;Good
760;43;29;210;75;1900;6600;997;340;64;950;Bad
770;18;34;270;66;1500;5800;995;337;78;1180;Good
780;82;1;260;74;4800;9000;996;338;62;1080;Bad
760;43;29;210;75;1900;6600;997;340;64;950;Bad
1020;23;37;220;57;1400;3600;996;323;49;930;Bad
710;75;1;220;59;1100;1800;992;339;40;1280;Good
600;33;32;1290;54;600;11300;996;330;56;1150;Bad
780;55;0;170;70;700;1700;997;326;64;940;Good
710;75;1;220;59;1100;1800;992;339;40;1280;Good
810;73;0;250;81;1200;2400;998;338;46;960;Bad
650;67;0;430;57;1100;2000;995;345;56;1180;Bad
750;61;20;170;76;3600;6000;995;310;40;930;Bad
980;37;39;250;79;2800;6500;997;316;59;980;Bad
900;40;41;200;58;1500;4000;994;322;60;1220;Good
830;56;22;240;82;1000;8600;998;337;62;950;Bad
590;29;25;1340;67;7200;16000;997;333;54;1030;Good
740;55;19;180;82;1500;3400;997;349;68;1050;Bad
740;74;7;170;86;1500;4800;995;312;48;1000;Bad
740;55;19;180;82;1500;3400;997;349;68;1050;Bad
690;41;33;220;81;2200;3600;995;341;75;1110;Good
710;60;1;230;79;2400;3700;995;340;61;1090;Good
710;60;1;230;79;2400;3700;995;340;61;1090;Good
750;58;14;220;77;2700;6000;996;328;59;980;Bad
710;72;0;180;123;600;1400;996;345;58;980;Bad
790;66;0;140;96;600;1300;996;343;58;950;Bad
780;70;6;190;79;2000;3500;996;340;69;1090;Bad
610;64;2;240;69;2600;4600;994;347;45;1100;Bad
750;59;22;180;82;4300;6000;995;310;42;920;Bad
700;58;28;480;85;1200;6900;996;332;70;1100;Good
680;64;0;270;123;1500;3300;995;344;63;1130;Good
680;64;0;270;123;1500;3300;995;344;63;1130;Good
860;64;68;180;403;1900;5600;996;302;115;930;Bad
630;102;0;200;83;1700;2400;994;359;55;1120;Bad
980;45;38;250;81;3400;6600;997;315;58;980;Bad
820;78;0;220;89;1300;2600;998;337;46;960;Bad
850;37;32;180;66;2600;5100;995;338;72;1180;Good
720;57;5;230;81;1600;3600;996;338;60;1030;Good
720;57;5;230;81;1600;3600;996;338;60;1030;Good
1040;43;50;230;68;1300;1900;996;310;87;1140;Good
690;41;31;200;79;2100;5100;997;347;55;950;Good
550;49;3;180;44;2800;8700;991;350;82;1400;Good
500;38;1;160;48;2600;6000;991;370;75;1400;Good
730;44;20;160;49;2400;6400;994;338;57;1170;Good
590;46;0;190;77;2500;4400;994;350;53;1120;Bad
750;58;20;200;73;3400;4400;995;310;43;930;Bad
780;58;13;210;102;1700;3600;994;324;53;1120;Good
800;72;22;230;75;1300;8100;997;324;54;950;Good
850;40;40;630;50;300;1000;996;328;56;1200;Bad
700;69;0;190;114;300;1000;996;335;60;970;Good
800;72;22;230;75;1300;8100;997;324;54;950;Good
980;30;39;170;62;300;900;995;314;57;1150;Good
710;46;20;190;77;2800;5400;996;337;64;1040;Good
710;46;20;190;77;2800;5400;996;337;64;1040;Good
790;77;0;200;84;900;2200;996;333;68;1090;Good
870;63;28;270;96;1700;6900;997;326;63;1020;Good
700;42;19;230;71;1800;3600;995;339;56;1090;Bad
1130;37;50;180;90;2000;4700;997;315;57;1050;Bad
710;16;44;250;68;1700;3100;993;335;54;1240;Good
800;60;8;260;56;300;700;993;322;37;1300;Bad
700;60;30;450;68;2000;11000;999;330;117;1020;Bad
700;60;30;450;68;2000;11000;999;330;117;1020;Bad
760;74;0;190;100;600;1200;995;336;59;1100;Bad
820;64;10;210;73;2500;6000;996;329;75;1090;Good
590;40;13;240;56;1400;2800;994;362;67;1240;Good
750;76;0;190;84;600;1200;997;334;49;970;Bad
820;64;10;210;73;2500;6000;996;329;75;1090;Good
660;63;0;430;93;5100;7750;996;320;45;950;Bad
660;63;0;430;93;5100;7750;996;320;45;950;Bad
720;53;14;210;64;1500;2900;993;335;61;1210;Good
570;60;0;140;63;1100;1800;992;345;56;1220;Good
760;158;0;210;137;500;900;995;350;40;1090;Bad
520;65;0;215;80;1500;2800;994;378;61;1250;Good
670;86;7;200;100;2000;5700;996;360;74;1170;Good
910;37;32;210;64;400;1500;996;330;80;1120;Good
800;28;44;180;81;2800;6800;995;336;66;1120;Bad
760;79;21;230;87;2100;6800;996;312;44;920;Bad
750;61;26;190;73;2400;8800;996;330;53;980;Bad
970;69;32;250;88;2200;9100;998;329;62;1010;Bad
680;68;9;390;68;1500;2900;995;341;52;1110;Bad
970;69;32;250;88;2200;9100;998;329;62;1010;Bad
700;62;10;140;71;2700;6300;996;328;61;920;Bad
750;61;26;190;73;2400;8800;996;330;53;980;Bad
650;51;15;300;64;1200;2700;993;333;59;1280;Good
800;118;21;190;83;1400;4100;995;334;47;1050;Bad
700;36;21;230;86;2000;6500;996;340;54;1010;Good
700;36;21;240;86;2400;6900;996;340;53;1010;Good
750;63;27;200;83;1700;9100;996;326;58;980;Good
540;74;0;120;41;1600;4600;993;401;59;1250;Good
990;44;46;220;91;1000;4100;996;318;69;1190;Good
750;63;27;200;83;1700;9100;996;326;58;980;Good
910;76;68;170;414;1800;6400;997;290;133;910;Good
970;66;34;260;94;1200;8800;998;326;66;1010;Bad
500;74;0;120;41;1600;4600;993;401;59;1250;Good
910;34;42;180;58;900;1800;994;318;55;1140;Bad
910;36;39;180;60;2100;5500;995;318;82;1100;Good
670;46;24;170;77;1800;3400;995;339;60;1060;Good
670;46;24;170;77;1800;3400;995;339;60;1060;Good
670;46;24;170;77;1800;3400;995;339;60;1060;Good
670;46;24;170;77;1800;3400;995;339;60;1060;Good
650;52;11;180;73;1300;3800;996;334;52;930;Bad
740;60;26;210;83;1700;9100;996;329;56;980;Good
740;60;26;210;83;1700;9100;996;329;56;980;Good
780;87;26;380;107;3100;6700;997;326;46;920;Bad
840;39;10;170;75;600;2500;996;309;43;970;Good
910;78;22;220;79;1200;4800;998;318;51;960;Bad
720;84;0;200;166;400;1100;996;339;52;1000;Bad
660;58;2;240;69;1900;4000;994;338;66;1260;Good
600;50;0;140;57;1500;2600;994;336;45;950;Bad
600;50;0;140;57;1500;2600;994;336;45;950;Bad
600;50;0;140;57;1500;2600;994;336;45;950;Bad
750;51;2;170;84;1300;3100;995;336;54;1050;Good
750;51;2;170;84;1300;3100;995;336;54;1050;Good
750;51;2;170;84;1300;3100;995;336;54;1050;Good
760;54;2;170;85;1700;3100;996;337;51;1040;Good
750;51;2;170;84;1300;3100;995;336;54;1050;Good
1150;42;48;260;77;800;2000;999;309;53;1100;Bad
820;44;24;230;63;1000;2800;996;325;53;1020;Good
610;59;1;210;56;500;1300;995;352;56;1140;Bad
720;66;3;180;78;700;1200;996;334;39;950;Bad
720;66;3;180;78;700;1200;996;334;39;950;Bad
690;57;0;280;81;2100;4100;995;341;52;1080;Bad
900;60;29;200;69;3200;7300;997;334;57;1000;Bad
720;62;1;230;65;800;4600;993;332;51;1180;Good
760;65;3;190;86;1400;5700;997;337;46;1030;Bad
760;65;3;190;86;1400;5700;997;337;46;1030;Bad
720;58;3;230;77;700;2800;996;335;52;1000;Bad
610;32;25;180;86;500;3200;995;336;44;1010;Bad
610;34;25;180;84;400;2800;995;336;44;1010;Bad
730;43;24;250;78;2700;6700;996;360;59;1110;Good
740;64;17;540;168;5200;9800;997;328;50;950;Bad
1160;48;40;140;91;600;2800;997;307;65;1003;Good
920;54;31;230;112;1100;3800;997;324;56;1090;Bad
830;85;14;250;93;1300;5400;997;336;54;1010;Bad
1160;48;40;140;91;600;2800;997;307;65;1003;Good
800;83;27;200;80;1100;6300;997;329;48;980;Bad
720;61;2;190;96;1000;3100;995;346;53;1180;Good
780;50;9;220;115;1000;4200;997;318;62;950;Bad
730;74;8;170;94;1000;4500;996;324;50;980;Bad
690;54;30;220;88;900;10500;997;325;118;1050;Good
800;77;32;210;79;1600;7400;997;327;50;980;Good
660;61;0;160;69;400;800;994;333;37;1040;Bad
870;78;51;170;415;1200;6600;996;300;117;920;Bad
750;58;56;310;153;500;1400;995;321;103;1160;Good
870;78;51;170;415;1200;6600;996;300;117;920;Bad
770;75;27;380;110;3400;8900;997;324;45;930;Bad
680;82;0;120;267;1600;2900;995;332;51;980;Bad
720;56;26;200;83;1300;10000;996;326;52;990;Bad
820;89;20;140;86;700;3100;995;311;46;1000;Bad
520;49;26;230;90;2300;7400;995;371;62;1220;Good
720;45;15;200;78;1000;2800;996;329;51;990;Good
750;57;2;260;77;1100;3500;996;336;62;1080;Good
750;57;2;260;77;1100;3500;996;336;62;1080;Good
680;83;9;180;74;400;2500;995;338;45;960;Bad
800;60;22;210;80;2500;10500;996;330;49;990;Bad
800;60;22;210;80;2500;10500;996;330;49;990;Bad
710;76;15;180;107;2000;8400;996;319;50;950;Bad
800;81;25;340;76;3400;8500;997;319;42;920;Bad
740;64;7;180;100;800;2300;996;330;58;960;Bad
740;64;7;180;100;800;2300;996;330;58;960;Bad
660;64;31;610;83;700;4900;997;335;68;1030;Bad
670;48;2;220;80;3600;11100;995;310;53;970;Bad
600;49;0;230;68;1500;3300;993;358;59;1250;Good
800;64;22;240;94;500;3300;996;337;58;1100;Bad
710;62;6;130;70;500;1200;994;317;48;980;Bad
800;52;25;200;78;1900;5900;996;330;48;1020;Bad
640;57;14;390;70;2700;7300;997;332;48;920;Bad
860;69;10;160;92;300;1200;997;331;65;955;Good
870;68;10;160;90;400;1100;997;331;65;955;Bad
730;59;26;200;80;1700;10400;996;328;52;990;Bad
700;60;12;220;83;1300;2800;997;352;62;1020;Good
720;67;0;220;68;1000;2400;996;342;72;1110;Good
790;69;21;210;80;3300;14100;996;325;51;990;Bad
790;69;21;210;80;3300;14100;996;325;51;990;Bad
760;30;42;200;52;600;2400;996;344;82;1190;Good
720;33;33;170;61;300;1300;996;323;110;1000;Good
800;50;39;260;82;1200;4600;999;343;62;1070;Good
770;28;30;200;62;1800;3400;995;328;90;1130;Good
820;24;34;510;62;800;2200;997;322;94;1090;Good
600;51;0;210;64;4000;5400;995;354;93;1070;Good
810;29;36;220;48;3500;5300;995;327;101;1240;Good
600;51;0;210;64;4000;5400;995;354;93;1070;Good
660;96;0;180;82;500;1600;994;350;44;1190;Good
640;47;40;240;71;800;1900;996;356;73;1060;Good
820;24;34;510;62;800;2200;997;322;94;1090;Good
990;57;25;200;104;1200;8900;996;304;90;1010;Bad
1000;32;59;220;77;300;1500;999;320;78;960;Bad
620;58;0;160;65;800;1800;997;356;84;940;Bad
1000;32;59;220;77;300;1500;999;320;78;960;Bad
730;34;33;250;64;2100;3700;995;335;77;1210;Good
780;53;1;160;77;300;1900;995;316;46;980;Bad
770;64;21;220;77;3200;13300;996;327;45;990;Bad
780;53;1;160;77;300;1900;995;316;46;980;Bad
750;40;18;160;79;2400;5800;997;334;58;940;Bad
700;54;0;210;79;3900;5500;996;339;84;1140;Good
640;53;9;390;123;1400;3100;997;350;67;1100;Bad
830;26;37;140;76;800;2300;997;326;70;960;Good
830;26;37;140;76;800;2300;997;326;70;960;Good
770;23;37;180;46;2300;6000;997;341;71;1210;Good
760;41;33;250;78;600;2300;996;330;58;1120;Bad
780;64;0;190;72;2700;5500;996;331;63;1100;Bad
790;18;40;220;49;3800;6700;996;333;93;1130;Bad
740;41;24;180;66;1800;4700;996;337;62;1040;Bad
760;43;31;210;69;1300;7400;996;326;54;990;Good
590;44;0;160;42;300;1100;994;348;85;1170;Good
610;40;16;180;69;1100;2500;996;342;74;1010;Good
1020;54;37;1540;214;5500;9500;1004;318;77;900;Good
1020;54;37;1540;214;5500;9500;1004;318;77;900;Good
1000;38;38;160;169;2700;9000;999;315;65;850;Bad
680;92;29;480;70;1500;3900;996;353;54;1110;Bad
700;59;0;170;52;300;800;996;341;47;1030;Bad
730;67;2;220;72;3100;9200;996;332;68;1107;Good
720;37;32;200;62;1500;2800;995;323;73;1130;Good
740;79;19;520;94;1900;9800;997;316;52;957;Good
690;63;2;190;78;1800;3000;997;340;75;980;Bad
690;58;20;175;58;800;2200;993;338;49;1170;Bad
730;67;2;220;72;3100;9200;996;332;68;1110;Good
740;79;19;520;94;1900;9800;997;316;52;960;Good
690;63;2;190;78;1800;3000;997;340;75;980;Bad
680;67;0;190;80;2200;3900;997;340;74;970;Bad
690;58;1;190;80;4000;5400;997;340;73;970;Bad
720;38;31;200;56;1500;2900;995;323;76;1130;Good
720;37;32;200;62;1500;2800;995;323;73;1130;Good
780;32;44;270;104;800;1700;997;333;78;1100;Good
660;58;2;200;62;3700;5300;994;335;76;1160;Good
760;49;33;190;74;2700;8500;997;341;58;900;Bad
1170;45;63;220;73;700;2300;1000;321;69;1090;Good
650;90;0;160;52;900;1700;995;350;63;1090;Good
600;54;6;180;50;3800;8900;992;330;50;1055;Good
760;49;33;190;74;2700;8500;997;341;58;900;Bad
840;29;40;170;67;800;2000;996;339;60;1050;Bad
790;20;35;170;54;700;1500;995;332;80;1190;Good
640;42;9;230;54;3400;6400;997;341;68;1040;Good
620;79;0;210;60;600;1300;997;359;61;1000;Bad
680;64;3;230;75;1400;3100;995;336;58;1040;Good
690;63;1;240;76;1400;3900;995;334;53;1080;Good
680;59;10;170;63;3400;5300;996;341;67;970;Bad
680;59;10;170;63;3400;5300;996;341;67;970;Bad
730;48;32;210;62;3100;5400;997;330;65;1000;Good
670;104;8;230;67;1900;3200;996;352;57;1100;Bad
730;48;32;210;62;3100;5400;997;330;65;1000;Good
730;98;5;210;61;2000;4900;997;331;55;970;Bad
1000;69;11;140;84;800;2400;996;288;47;970;Bad
670;70;8;375;67;800;1600;993;343;52;1260;Bad
760;35;60;260;73;2300;4400;997;338;79;1110;Good
610;60;8;180;71;1400;4500;993;338;54;1100;Bad
990;50;50;1380;205;4800;8200;1002;316;75;880;Bad
530;47;11;220;48;1600;8900;992;354;88;1357;Good
990;50;50;1380;205;4800;8200;1002;316;75;880;Bad
530;47;11;220;48;1600;8900;992;354;88;1360;Good
710;88;5;570;82;300;1400;998;340;52;1020;Bad
820;28;60;300;104;1000;2200;998;339;68;1060;Bad
560;62;3;150;80;600;1300;995;366;62;1010;Bad
820;28;60;300;104;1000;2200;998;339;68;1060;Bad
720;58;54;210;114;300;900;997;333;57;1030;Bad
810;33;44;150;42;600;1200;995;335;61;1070;Bad
680;91;6;200;60;400;1100;996;353;64;1090;Bad
700;66;16;210;74;800;2500;996;337;55;970;Bad
680;68;21;210;70;900;2300;995;338;60;1030;Bad
600;64;5;190;66;900;1700;995;352;78;1060;Bad
560;54;4;170;49;500;1300;994;372;58;1140;Bad
620;57;10;210;48;400;1100;994;344;76;1080;Good
710;22;49;180;39;800;1800;993;339;56;1240;Good
560;54;4;170;49;500;1300;994;372;58;1140;Bad
620;65;6;160;50;600;1800;993;357;54;1195;Bad
770;54;26;190;89;2300;14700;996;326;59;970;Bad
640;31;9;140;66;1500;2800;995;342;70;1000;Good
700;43;2;190;80;1500;2800;995;335;81;1060;Good
770;54;26;190;89;2300;14700;996;326;59;970;Bad
690;74;3;230;54;700;1600;995;345;63;1150;Good
660;90;4;230;68;700;1300;996;353;58;1080;Good
690;74;3;230;54;700;1600;995;345;63;1150;Good
750;73;4;150;76;800;1500;995;326;53;960;Bad
780;82;29;430;83;2100;6400;996;316;53;940;Bad
730;59;18;240;78;1500;6000;996;331;54;980;Bad
620;44;39;250;77;600;1400;996;351;69;1100;Good
750;38;57;230;106;500;1200;996;336;55;1140;Good
670;76;2;180;78;600;1200;996;355;63;995;Bad
680;81;5;200;70;600;1400;996;351;66;1080;Good
750;38;57;230;106;500;1200;996;336;55;1140;Good
710;27;60;210;74;1700;2500;998;338;72;1060;Good
790;18;40;180;62;700;2000;994;328;70;1110;Bad
640;36;21;220;47;2600;4800;997;347;77;970;Good
710;69;4;210;68;1900;2700;997;344;67;980;Bad
640;79;4;220;61;1100;1700;996;353;65;1040;Good
640;56;15;180;78;1700;6500;993;333;60;1050;Good
690;84;21;410;74;1600;6500;998;353;72;923;Good
690;84;21;410;74;1600;6500;998;353;72;925;Good
610;32;25;230;71;2300;5800;996;342;97;1060;Bad
650;53;6;200;63;2900;4400;995;338;83;1030;Good
740;47;46;220;114;700;2000;996;332;63;1050;Bad
660;70;8;260;106;1400;2700;997;344;58;1020;Bad
650;53;6;200;63;2900;4400;995;338;83;1030;Good
690;48;20;190;82;900;2300;996;339;43;905;Bad
610;32;25;230;71;2300;5800;996;342;97;1060;Bad
680;48;25;200;76;2900;6100;995;334;60;1040;Bad
600;42;19;200;75;2200;4700;995;339;78;1000;Good
670;48;8;210;64;1800;3400;996;333;64;970;Bad
680;47;8;220;64;1800;3800;996;330;65;960;Good
710;53;7;170;71;1500;2400;995;329;66;1080;Good
790;29;49;220;96;2100;5900;997;331;67;1010;Good
710;69;8;210;63;4200;5200;996;342;60;1020;Good
660;44;9;220;63;900;1800;994;342;69;1130;Good
610;71;10;280;81;1300;2800;996;360;66;1020;Bad
720;53;13;200;58;1800;2200;996;321;68;990;Good
800;39;30;190;74;3200;8400;997;339;61;900;Bad
660;56;14;240;64;1300;2900;994;342;62;1170;Good
700;55;13;220;75;1500;3500;996;336;59;970;Good
610;53;8;190;77;2400;4500;995;360;68;1030;Good
540;58;8;190;59;2000;3100;995;350;64;1020;Good
620;64;9;250;81;1500;2600;995;357;63;1200;Bad
720;39;32;180;65;3400;6000;997;346;78;990;Bad
620;52;8;440;71;1100;3200;996;356;63;1160;Good
740;25;29;220;54;1900;4900;997;340;76;1090;Good
670;86;2;190;64;2900;3800;995;330;56;1075;Good
1110;44;42;220;64;1400;1900;998;325;57;1040;Good
840;37;43;230;63;1200;1900;996;317;81;1120;Good
650;63;33;180;59;1600;2800;995;336;64;1010;Good
700;57;2;200;72;1700;2600;996;336;61;1020;Bad
630;60;10;160;48;1200;2600;993;355;51;1210;Bad
1120;40;50;200;99;1900;5000;998;310;58;1040;Bad
740;36;30;180;74;1700;2400;994;324;70;1140;Good
710;68;0;230;87;1700;2600;998;345;53;950;Bad
710;67;0;230;83;1800;2700;998;344;54;940;Bad
630;68;1;370;103;3200;5400;996;351;66;1130;Good
730;74;0;220;80;1800;2800;998;341;60;940;Bad
660;86;2;240;62;1500;2300;996;354;60;1100;Good
700;56;17;170;65;1500;2400;995;344;68;1055;Good
660;88;4;220;66;1200;2000;996;353;56;990;Bad
660;86;2;240;62;1500;2300;996;354;60;1100;Good
690;63;33;670;235;6600;11500;998;322;56;950;Bad
780;60;26;200;80;3100;13100;996;321;52;990;Bad
780;60;26;200;80;3100;13100;996;321;52;990;Bad
780;60;26;200;80;3100;13100;996;321;52;990;Bad
720;70;13;200;76;1200;2000;995;329;54;1010;Bad
720;70;13;200;76;1200;2000;995;329;54;1010;Bad
720;70;13;200;76;1200;2000;995;329;54;1010;Bad
670;67;2;190;61;2600;4200;995;339;82;1090;Good
670;16;64;210;59;2400;5200;995;334;71;1120;Good
720;70;13;200;76;1200;2000;995;329;54;1010;Bad
700;56;13;160;77;2500;4200;996;334;59;920;Bad
620;51;14;190;56;1500;3400;994;348;57;1150;Good
640;36;53;220;230;1900;3500;993;337;93;1240;Good
640;38;14;220;38;1500;2500;995;344;65;1110;Good
730;69;32;220;69;3500;10400;996;333;51;950;Bad
600;58;20;240;75;1500;5000;995;358;67;1250;Good
560;31;78;1390;74;2300;9200;997;339;48;1050;Good
750;52;40;220;60;1200;2000;995;326;64;1180;Good
800;30;63;160;81;1600;2900;996;330;78;1080;Good
620;70;15;510;76;1300;2700;996;354;60;1190;Good
680;67;15;180;118;1300;2000;995;342;67;1130;Good
620;56;9;170;53;2400;3200;994;354;60;1130;Bad
740;35;33;240;68;900;2600;995;336;60;1190;Good
620;56;9;170;53;2400;3200;994;354;60;1130;Bad
610;72;10;260;53;1300;2700;994;357;50;1190;Bad
620;46;29;210;74;3200;9800;996;333;62;980;Bad
670;32;44;240;61;2400;3400;995;329;80;1160;Good
720;39;44;260;66;2200;4800;995;330;84;1150;Good
750;31;41;240;65;3400;6000;995;334;85;1140;Good
580;61;11;180;66;1800;2800;995;355;66;1090;Good
720;66;33;250;68;3400;10200;994;327;78;1280;Good
660;73;20;780;73;2900;7900;998;329;54;920;Bad
630;55;15;180;77;2600;3500;993;332;82;1160;Good
540;74;9;170;89;1600;2600;994;367;56;1160;Good
630;51;13;230;76;2900;4000;996;342;75;1100;Good
680;62;8;190;68;2800;3800;997;342;82;950;Good
620;60;8;200;90;3200;4400;995;345;58;1050;Bad
590;55;10;220;62;3900;5100;995;352;76;1120;Good
630;51;13;230;76;2900;4000;996;342;75;1100;Good
590;65;12;200;75;3200;4400;995;357;71;1020;Bad
600;31;47;360;67;1800;4200;995;339;66;1100;Good
