fixed_acidity;volatile_acidity;citric_acid;residual_sugar;chlorides;free_sulfur_dioxide;total_sulfur_dioxide;density;pH;sulphates;alcohol;quality
710;43;42;550;71;2800;12800;997;342;71;1050;Bad
710;43;42;550;70;2900;12900;997;342;72;1050;Bad
710;43;42;550;71;2800;12800;997;342;71;1050;Bad
710;68;0;220;73;1200;2200;997;348;50;930;Bad
680;60;18;190;79;1800;8600;997;359;57;930;Good
760;95;3;200;90;700;2000;996;320;56;960;Bad
760;68;2;130;72;900;2000;997;317;108;920;Bad
780;53;4;170;76;1700;3100;996;333;56;1000;Good
740;60;26;730;70;3600;12100;998;337;49;940;Bad
730;59;26;720;70;3500;12100;998;337;49;940;Bad
780;63;48;170;100;1400;9600;996;319;62;950;Bad
680;64;10;210;85;1800;10100;996;334;52;1020;Bad
730;55;3;160;72;1700;4200;996;337;48;900;Bad
680;63;7;210;89;1100;4400;995;347;55;1040;Good
750;71;24;180;360;1500;6300;996;300;159;950;Bad
790;89;3;180;58;400;800;997;336;33;910;Bad
800;42;17;200;73;600;1800;997;329;61;920;Good
800;42;17;200;73;600;1800;997;329;61;920;Good
740;62;5;190;68;2400;4200;996;342;57;1150;Good
730;38;21;200;80;700;3500;996;333;47;950;Bad
690;50;4;150;85;1900;4900;996;335;78;950;Bad
730;38;21;200;80;700;3500;996;333;47;950;Bad
750;52;42;230;87;800;3800;997;358;61;1050;Good
700;81;0;250;68;700;2000;997;348;56;960;Bad
880;61;14;240;67;1000;4200;997;319;59;950;Bad
880;61;14;240;67;1000;4200;997;319;59;950;Bad
890;61;49;200;270;2300;11000;997;312;102;930;Bad
720;73;2;250;76;1600;4200;997;344;52;930;Bad
680;61;20;180;77;1100;6500;997;354;58;930;Bad
670;62;21;190;79;800;6200;997;352;58;930;Good
890;31;57;200;111;2600;8500;997;326;53;970;Bad
740;39;48;200;82;1400;6700;997;334;55;920;Bad
770;71;10;260;84;900;2600;998;339;49;970;Bad
790;50;33;200;84;1500;14300;997;320;55;950;Bad
790;49;32;190;82;1700;14400;997;320;55;950;Bad
820;50;35;290;77;2100;12700;998;323;62;940;Bad
640;37;25;190;74;2100;4900;997;357;62;980;Good
680;63;12;380;99;1600;12600;997;328;61;950;Bad
760;55;21;220;71;700;2800;996;328;55;970;Bad
760;55;21;220;71;700;2800;996;328;55;970;Bad
780;59;33;200;74;2400;12000;997;325;54;940;Bad
730;58;30;240;74;1500;5500;997;346;59;1020;Bad
1150;30;60;200;67;1200;2700;998;311;97;1010;Good
540;84;8;120;46;1300;9300;992;357;85;1300;Good
690;109;6;210;61;1200;3100;995;351;43;1140;Bad
960;32;47;140;56;900;2400;997;322;82;1030;Good
880;37;48;210;97;3900;14500;998;304;103;930;Bad
680;50;11;150;75;1600;4900;995;336;79;950;Bad
700;42;35;160;88;1600;3900;996;334;55;920;Bad
700;43;36;160;89;1400;3700;996;334;56;920;Good
1280;30;74;260;95;900;2800;999;320;77;1080;Good
1280;30;74;260;95;900;2800;999;320;77;1080;Good
780;57;31;180;69;2600;12000;996;329;53;930;Bad
780;44;28;270;100;1800;9500;997;322;67;940;Bad
1100;30;58;210;54;700;1900;998;331;88;1050;Good
970;53;60;200;39;500;1900;996;330;86;1240;Good
800;73;24;280;83;1000;6200;997;335;56;1000;Good
1160;44;64;210;59;500;1500;998;321;67;1020;Good
820;57;26;220;60;2800;6500;996;330;43;1010;Bad
780;74;8;240;92;1000;4100;997;324;71;980;Good
700;49;49;560;60;2600;12100;997;334;76;1050;Bad
870;63;16;200;101;1300;4900;996;314;57;1100;Bad
810;73;22;220;72;1100;4100;997;336;55;910;Bad
750;49;19;190;76;1000;4400;996;339;54;970;Bad
780;53;33;240;80;2400;14400;997;330;60;950;Bad
780;34;37;200;82;2400;5800;996;334;59;940;Good
740;53;26;200;101;1600;7200;996;315;57;940;Bad
680;61;4;150;57;500;1000;995;342;60;950;Bad
860;65;25;200;83;800;2800;998;328;60;1000;Good
840;64;36;200;89;1500;5500;997;331;57;1040;Bad
770;43;25;260;73;2900;6300;996;337;58;1050;Good
890;59;50;200;337;2700;8100;996;304;161;950;Good
900;82;14;260;89;900;2300;998;339;63;980;Bad
770;43;25;260;73;2900;6300;996;337;58;1050;Good
690;52;25;260;81;1000;3700;997;346;50;1100;Bad
520;48;4;160;54;1900;10600;993;354;62;1220;Good
800;38;6;180;78;1200;4900;996;337;52;990;Good
850;37;20;280;90;1800;5800;998;334;70;960;Good
690;52;25;260;81;1000;3700;997;346;50;1100;Bad
820;100;9;230;65;700;3700;997;332;55;900;Good
720;63;0;190;97;1400;3800;997;337;58;900;Good
720;63;0;190;97;1400;3800;997;337;58;900;Good
720;65;0;190;97;1500;3900;997;337;58;920;Good
720;63;0;190;97;1400;3800;997;337;58;900;Good
820;100;9;230;65;700;3700;997;332;55;900;Good
890;64;37;170;263;500;6200;997;300;109;930;Bad
1200;38;56;210;93;600;2400;999;314;71;1090;Good
770;58;10;180;102;2800;10900;996;308;49;980;Good
1500;21;44;220;75;1000;2400;1000;307;84;920;Good
1500;21;44;220;75;1000;2400;1000;307;84;920;Good
730;66;0;200;84;600;2300;998;361;96;990;Good
710;68;7;190;75;1600;5100;997;338;52;950;Bad
820;60;17;230;72;1100;7300;996;320;45;930;Bad
770;53;6;170;74;900;3900;996;335;48;980;Good
730;66;0;200;84;600;2300;998;361;96;990;Good
1080;32;44;160;63;1600;3700;999;322;78;1000;Good
710;60;0;180;74;1600;3400;997;347;70;990;Good
1110;35;48;310;90;500;2100;999;317;53;1050;Bad
770;78;42;190;92;800;8600;996;323;59;950;Bad
710;60;0;180;74;1600;3400;997;347;70;990;Good
800;57;23;320;73;1700;11900;997;326;57;930;Bad
940;34;37;220;75;500;1300;998;322;62;920;Bad
660;70;0;210;75;1200;5600;997;349;67;920;Bad
770;41;76;180;611;800;4500;997;306;126;940;Bad
1000;31;47;260;85;1400;3300;1000;336;80;1050;Good
790;33;23;170;77;1800;4500;996;329;65;930;Bad
700;98;4;200;87;1200;6700;996;335;60;940;Bad
800;52;3;170;70;1000;3500;996;334;57;1000;Bad
790;37;23;180;77;2300;4900;996;328;67;930;Bad
1250;56;49;240;64;500;2700;1000;308;87;1090;Bad
1180;26;52;180;71;600;1000;997;320;72;1020;Good
810;87;0;330;96;2600;6100;1000;360;72;980;Bad
790;35;46;360;78;1500;3700;997;335;86;1280;Good
690;54;4;300;77;700;2700;999;369;91;940;Good
1150;18;51;400;104;400;2300;1000;328;97;1010;Good
790;55;6;400;87;2700;6100;997;336;67;1070;Good
1150;18;51;400;104;400;2300;1000;328;97;1010;Good
1090;37;58;400;71;1700;6500;999;322;78;1010;Bad
840;72;20;240;76;1000;3800;997;331;64;940;Bad
750;65;18;700;88;2700;9400;999;338;77;940;Bad
790;55;6;400;87;2700;6100;997;336;67;1070;Good
690;54;4;300;77;700;2700;999;369;91;940;Good
1150;18;51;400;104;400;2300;1000;328;97;1010;Good
1030;32;45;640;73;500;1300;998;323;82;1260;Good
890;40;32;560;87;1000;4700;999;338;77;1050;Good
1140;26;44;360;71;600;1900;999;312;82;930;Good
770;27;68;350;358;500;1000;997;325;108;990;Good
760;52;12;300;67;1200;5300;997;336;57;910;Bad
890;40;32;560;87;1000;4700;999;338;77;1050;Good
990;59;7;340;102;3200;7100;1000;331;71;980;Bad
990;59;7;340;102;3200;7100;1000;331;71;980;Bad
1200;45;55;200;73;2500;4900;1000;310;76;1030;Good
750;40;12;300;92;2900;5300;997;337;70;1030;Good
870;52;9;250;91;2000;4900;998;334;86;1060;Good
1160;42;53;330;105;3300;9800;1001;320;95;920;Bad
870;52;9;250;91;2000;4900;998;334;86;1060;Good
1100;20;48;200;343;600;1800;998;330;71;1050;Bad
1040;55;23;270;91;1800;4800;999;322;64;1030;Good
690;36;25;240;98;500;1600;996;341;60;1010;Good
1330;34;52;320;94;1700;5300;1001;305;81;950;Good
1080;50;46;250;73;500;2700;1000;305;64;950;Bad
1060;83;37;260;86;2600;7000;998;316;52;990;Bad
710;63;6;200;83;800;2900;999;367;73;960;Bad
720;65;2;230;94;500;3100;999;367;80;970;Bad
690;67;6;210;80;800;3300;998;368;71;960;Bad
750;53;6;260;86;2000;4400;997;338;59;1070;Good
1110;18;48;150;68;700;1500;997;322;64;1010;Good
830;71;12;260;92;1200;2800;999;351;72;1000;Bad
740;67;12;160;186;500;2100;996;339;54;950;Bad
840;65;60;210;112;1200;9000;997;320;52;920;Bad
1030;53;48;250;63;600;2500;1000;312;59;930;Good
760;62;32;220;82;700;5400;997;336;52;940;Bad
1030;41;42;240;213;600;1400;999;319;62;950;Good
1030;43;44;240;214;500;1200;999;319;63;950;Good
740;29;38;170;62;900;3000;997;341;53;950;Good
1030;53;48;250;63;600;2500;1000;312;59;930;Good
790;53;24;200;72;1500;10500;996;327;54;940;Good
900;46;31;280;93;1900;9800;998;332;63;950;Good
860;47;30;300;76;3000;13500;998;330;53;940;Bad
740;36;29;260;87;2600;7200;996;339;68;1100;Bad
710;35;29;250;96;2000;5300;996;342;65;1100;Good
960;56;23;340;102;3700;9200;1000;330;65;1010;Bad
960;77;12;290;82;3000;7400;999;330;64;1040;Good
980;66;39;320;83;2100;5900;999;337;71;1150;Good
960;77;12;290;82;3000;7400;999;330;64;1040;Good
980;66;39;320;83;2100;5900;999;337;71;1150;Good
930;61;26;340;90;2500;8700;1000;324;62;970;Bad
780;62;5;230;79;600;1800;997;329;63;930;Bad
1030;59;42;280;90;3500;7300;999;328;70;950;Good
1000;49;20;1100;71;1300;5000;1002;316;69;920;Good
1000;49;20;1100;71;1300;5000;1002;316;69;920;Good
1160;53;66;365;121;600;1400;998;305;74;1150;Good
1030;44;50;450;107;500;1300;998;328;83;1150;Bad
1340;27;62;260;82;600;2100;1000;316;67;970;Good
1070;46;39;200;61;700;1500;998;318;62;950;Bad
1020;36;64;290;122;1000;4100;998;323;66;1250;Good
1020;36;64;290;122;1000;4100;998;323;66;1250;Good
800;58;28;320;66;2100;11400;997;322;54;940;Good
840;56;8;210;105;1600;4400;996;313;52;1100;Bad
790;65;1;250;78;1700;3800;996;334;74;1170;Good
1190;70;53;340;128;700;2100;999;317;84;1220;Good
890;43;45;190;52;600;1600;995;335;70;1250;Good
780;43;32;280;80;2900;5800;997;331;64;1030;Bad
1240;49;58;300;103;2800;9900;1001;316;100;1150;Good
1250;28;54;230;82;1200;2900;1000;311;136;980;Good
1220;34;50;240;66;1000;2100;1000;312;118;920;Good
1060;42;48;270;65;500;1800;997;321;87;1130;Good
1090;39;47;180;118;600;1400;998;330;75;980;Good
1090;39;47;180;118;600;1400;998;330;75;980;Good
1190;57;50;260;82;600;3200;1001;312;78;1070;Good
700;69;0;190;67;4000;6300;998;360;81;990;Bad
660;82;2;270;72;1700;3400;996;358;89;1230;Good
1380;49;67;300;93;600;1500;999;302;93;1200;Good
960;56;31;280;89;1500;4600;998;311;92;1000;Good
910;79;0;260;93;1100;2800;999;336;86;940;Good
1070;67;22;270;107;1700;3400;1000;328;98;990;Good
910;80;0;260;96;1100;2600;999;335;83;940;Good
770;67;0;240;90;800;1900;997;327;73;930;Bad
1350;53;79;480;120;2300;7700;1002;318;77;1300;Bad
610;21;40;140;66;4050;16500;991;325;59;1190;Good
670;75;1;240;78;1700;3200;996;355;61;1280;Good
1150;41;52;300;80;2900;5500;1000;326;88;1100;Bad
1050;42;66;295;116;1200;2900;997;324;75;1170;Good
1190;43;66;310;109;1000;2300;1000;315;85;1040;Good
1260;38;66;260;88;1000;4100;1001;317;68;980;Good
820;70;23;200;99;1400;8100;997;319;70;940;Bad
860;45;31;260;86;2100;5000;998;337;91;990;Good
1190;58;66;250;72;600;3700;999;305;56;1000;Bad
1250;46;63;200;71;600;1500;999;299;87;1020;Bad
1280;62;66;580;83;700;4200;1002;307;73;1000;Good
1000;42;50;340;107;700;2100;998;326;93;1180;Good
1280;62;66;580;83;700;4200;1002;307;73;1000;Good
1040;58;61;260;76;1100;2400;1000;316;69;900;Bad
1030;34;52;280;159;1500;7500;1000;318;64;940;Bad
940;27;53;240;74;600;1800;996;320;113;1200;Good
690;77;2;230;63;3500;6300;998;357;78;990;Bad
790;24;40;160;56;1100;2500;997;332;87;870;Good
910;28;48;180;67;2600;4600;997;332;104;1060;Good
740;55;22;220;106;1200;7200;996;305;63;920;Bad
1400;41;63;380;89;600;4700;1001;301;81;1080;Good
1150;54;71;440;124;600;1500;998;301;83;1180;Good
1150;45;50;300;78;1900;4700;1000;326;111;1100;Good
940;27;53;240;74;600;1800;996;320;113;1200;Good
1140;63;66;620;88;600;2400;999;311;99;1330;Good
830;42;38;250;94;2400;6000;998;331;70;1080;Good
830;26;42;200;80;1100;2700;997;321;80;940;Good
1370;42;68;290;85;1700;4300;1001;306;80;1000;Good
830;26;42;200;80;1100;2700;997;321;80;940;Good
830;26;42;200;80;1100;2700;997;321;80;940;Good
770;51;28;210;87;2300;5400;998;342;74;920;Bad
740;63;7;240;90;1100;3700;998;343;76;970;Good
780;54;26;200;88;2300;4800;998;341;74;920;Good
830;66;15;190;79;1700;4200;997;331;54;960;Good
780;46;26;190;88;2300;5300;998;343;74;920;Good
960;38;31;250;96;1600;4900;998;319;70;1000;Good
560;85;5;140;45;1200;8800;992;356;82;1290;Good
1370;42;68;290;85;1700;4300;1001;306;80;1000;Good
950;37;52;200;82;600;2600;998;318;51;950;Bad
840;67;61;200;112;1300;9500;997;316;54;910;Bad
1270;60;65;230;63;600;2500;1000;303;57;990;Bad
1200;37;76;420;66;700;3800;1000;322;60;1300;Good
660;74;2;790;122;6800;12400;999;347;53;990;Bad
1150;59;59;260;87;1300;4900;999;318;65;1100;Good
1150;59;59;260;87;1300;4900;999;318;65;1100;Good
870;77;22;230;64;900;4200;996;310;55;940;Bad
660;74;2;790;122;6800;12400;999;347;53;990;Bad
770;26;30;170;59;2000;3800;995;329;47;1080;Good
1220;48;54;260;85;1900;6400;1000;310;61;1050;Good
1140;60;49;270;85;1000;4100;999;315;63;1050;Good
770;69;5;270;75;1500;2700;997;326;61;910;Bad
870;31;46;140;59;1100;2500;997;336;76;1010;Good
980;44;47;250;63;900;2800;998;324;65;1080;Good
1200;39;66;300;93;1200;3000;1000;318;63;1080;Good
1040;34;58;370;174;600;1600;997;319;70;1130;Good
1250;46;49;450;70;2600;4900;998;305;57;960;Bad
900;43;34;250;80;2600;8600;999;338;62;950;Good
910;45;35;240;80;2300;7800;999;338;62;950;Bad
710;74;16;190;100;1500;7700;997;327;64;930;Bad
990;40;53;670;97;600;1900;999;327;82;1170;Good
880;52;34;270;87;2400;12200;998;326;61;950;Bad
860;73;24;660;117;3100;13400;1001;332;107;930;Bad
1060;48;64;220;111;600;2000;997;326;66;1170;Good
700;58;12;190;91;3400;12400;996;344;48;1050;Bad
1190;38;51;200;121;700;2000;1000;324;76;1040;Good
680;77;0;180;66;3400;5200;998;362;68;990;Bad
950;56;33;240;89;3500;6700;997;328;73;1180;Good
660;84;3;230;59;3200;4800;995;352;56;1230;Good
770;96;20;200;47;1500;6000;996;336;44;1090;Bad
1050;24;47;210;66;600;2400;998;315;90;1100;Good
770;96;20;200;47;1500;6000;996;336;44;1090;Bad
660;84;3;230;59;3200;4800;995;352;56;1230;Good
640;67;8;210;45;1900;4800;995;349;49;1140;Good
950;78;22;190;77;600;3200;999;326;56;1060;Good
910;52;33;130;70;900;3000;998;324;60;930;Bad
1280;84;63;240;88;1300;3500;1000;310;60;1040;Good
1050;24;47;210;66;600;2400;998;315;90;1100;Good
780;55;35;220;74;2100;6600;997;325;56;920;Bad
1190;37;69;230;78;1200;2400;996;300;65;1280;Good
1230;39;63;230;91;600;1800;1000;316;49;950;Bad
1040;41;55;320;76;2200;5400;1000;315;89;990;Good
1230;39;63;230;91;600;1800;1000;316;49;950;Bad
800;67;30;200;60;3800;6200;996;326;56;1020;Good
1110;45;73;320;66;600;2200;999;317;66;1120;Good
1040;41;55;320;76;2200;5400;1000;315;89;990;Good
700;62;18;150;62;700;5000;995;308;60;930;Bad
1260;31;72;220;72;600;2900;999;288;82;980;Good
1190;40;65;215;68;700;2700;999;306;68;1130;Good
1560;69;76;370;100;600;4300;1003;295;68;1120;Good
1000;44;49;270;77;1100;1900;996;323;63;1160;Good
530;57;1;170;54;500;2700;993;357;84;1250;Good
950;74;10;210;79;600;3100;999;323;56;1010;Good
1250;38;60;260;81;3100;7200;1000;310;73;1050;Bad
930;48;29;210;127;600;1600;997;322;72;1120;Bad
860;53;22;200;100;700;2700;997;320;56;1020;Good
1190;39;69;280;95;1700;3500;999;310;61;1080;Good
1190;39;69;280;95;1700;3500;999;310;61;1080;Good
840;37;53;180;413;900;2600;998;306;106;910;Good
680;56;3;170;84;1800;3500;997;344;63;1000;Good
1040;33;63;280;84;500;2200;1000;326;74;1120;Good
700;23;40;160;63;2100;6700;995;350;63;1110;Bad
1130;62;67;520;86;600;1900;999;322;69;1340;Good
890;59;39;230;95;500;2200;999;337;58;1030;Bad
920;63;21;270;97;2900;6500;999;328;58;960;Bad
1040;33;63;280;84;500;2200;1000;326;74;1120;Good
1160;58;66;220;74;1000;4700;1001;325;57;900;Bad
920;43;52;230;83;1400;2300;998;335;61;1130;Good
830;62;22;260;87;600;1900;998;326;61;930;Bad
1100;26;68;255;85;1000;2500;997;318;61;1180;Bad
810;66;70;220;98;2500;12900;997;308;53;900;Bad
1150;32;54;210;84;500;1500;999;298;70;920;Good
1000;29;40;290;98;1000;2600;1001;348;91;970;Bad
1030;50;42;200;69;2100;5100;998;316;72;1150;Good
880;46;45;260;65;700;1800;995;332;79;1400;Good
1140;36;69;210;90;600;2100;1000;317;62;920;Good
870;82;2;120;70;3600;4800;995;320;58;980;Bad
1300;32;65;260;93;1500;4700;1000;305;61;1060;Bad
960;54;42;240;81;2500;5200;997;320;71;1140;Good
1250;37;55;260;83;2500;6800;1000;315;82;1040;Good
990;35;55;210;62;500;1400;997;326;79;1060;Bad
1050;28;51;170;80;1000;2400;998;320;89;940;Good
960;68;24;220;87;500;2800;999;314;60;1020;Bad
930;27;41;200;91;600;1600;998;328;70;970;Bad
1040;24;49;180;75;600;2000;998;318;106;1100;Good
960;68;24;220;87;500;2800;999;314;60;1020;Bad
940;69;11;270;77;600;3100;998;319;70;1010;Good
1060;28;39;1550;69;600;2300;1003;312;66;920;Bad
940;30;56;280;80;600;1700;996;315;92;1170;Good
1060;36;59;220;152;600;1800;999;304;105;940;Bad
1060;36;60;220;152;700;1800;999;304;106;940;Bad
1060;44;68;410;114;600;2400;997;306;66;1340;Good
1020;67;39;190;54;600;1700;998;317;47;1000;Bad
1020;67;39;190;54;600;1700;998;317;47;1000;Bad
1020;65;36;180;53;500;1400;998;317;42;1000;Good
1160;32;55;280;81;3500;6700;1000;332;92;1080;Good
930;39;40;260;73;1000;2600;998;334;75;1020;Good
930;78;27;280;78;2400;5600;998;331;67;1060;Good
920;41;50;250;55;1200;2500;995;334;79;1330;Good
890;40;51;260;52;1300;2700;995;332;90;1340;Good
870;69;31;300;86;2300;8100;1000;348;74;1160;Good
